Sample5;;Sample5;;Sample5;;Sample5;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
;;;;;;;
;;;;;;;
614.01862;-0.01065;614.01862;-0.01067;614.01862;-0.01043;614.01862;-0.00792
612.98773;-0.01046;612.98773;-0.01032;612.98773;-0.01037;612.98773;-0.00802
611.9566;-0.01038;611.9566;-0.01015;611.9566;-0.01019;611.9566;-0.0079
611.07251;-0.01054;611.07251;-0.01043;611.07251;-0.00996;611.07251;-0.00797
610.04077;-0.0106;610.04077;-0.01033;610.04077;-0.00977;610.04077;-0.00821
609.00879;-0.01064;609.00879;-0.01028;609.00879;-0.00956;609.00879;-0.00833
607.9765;-0.01033;607.9765;-0.01031;607.9765;-0.00951;607.9765;-0.0086
606.94391;-0.01059;606.94391;-0.0105;606.94391;-0.00938;606.94391;-0.00876
606.05865;-0.01061;606.05865;-0.0103;606.05865;-0.00916;606.05865;-0.00873
605.02551;-0.01027;605.02551;-0.0101;605.02551;-0.00906;605.02551;-0.00874
603.99213;-0.01054;603.99213;-0.0105;603.99213;-0.00904;603.99213;-0.00903
602.95844;-0.01033;602.95844;-0.01042;602.95844;-0.00892;602.95844;-0.00909
602.0722;-0.01028;602.0722;-0.01025;602.0722;-0.00875;602.0722;-0.00927
601.03802;-0.01013;601.03802;-0.01033;601.03802;-0.00853;601.03802;-0.00938
600.00354;-0.01027;600.00354;-0.01038;600.00354;-0.00866;600.00354;-0.00928
598.96875;-0.01025;598.96875;-0.01056;598.96875;-0.00865;598.96875;-0.00938
597.93372;-0.01048;597.93372;-0.01051;597.93372;-0.00861;597.93372;-0.00949
597.04626;-0.01038;597.04626;-0.0104;597.04626;-0.00834;597.04626;-0.00959
596.01068;-0.01048;596.01068;-0.01072;596.01068;-0.00856;596.01068;-0.00975
594.97485;-0.01049;594.97485;-0.01055;594.97485;-0.00854;594.97485;-0.00982
593.93872;-0.01069;593.93872;-0.01047;593.93872;-0.00851;593.93872;-0.00992
593.05035;-0.01065;593.05035;-0.01056;593.05035;-0.00851;593.05035;-0.0099
592.01367;-0.01074;592.01367;-0.01065;592.01367;-0.00877;592.01367;-0.0101
590.97675;-0.01077;590.97675;-0.01064;590.97675;-0.00903;590.97675;-0.01015
589.93951;-0.01071;589.93951;-0.01067;589.93951;-0.0091;589.93951;-0.0103
589.05029;-0.01076;589.05029;-0.01061;589.05029;-0.00902;589.05029;-0.01015
588.01251;-0.01097;588.01251;-0.0108;588.01251;-0.0094;588.01251;-0.01038
586.97449;-0.01065;586.97449;-0.0106;586.97449;-0.00907;586.97449;-0.01
585.93622;-0.01044;585.93622;-0.01034;585.93622;-0.00937;585.93622;-0.0099
585.04602;-0.01084;585.04602;-0.01062;585.04602;-0.00965;585.04602;-0.01035
584.0072;-0.01081;584.0072;-0.011;584.0072;-0.00963;584.0072;-0.01038
582.96814;-0.0106;582.96814;-0.01081;582.96814;-0.00987;582.96814;-0.0103
581.92877;-0.01086;581.92877;-0.01083;581.92877;-0.00999;581.92877;-0.01031
581.03766;-0.01097;581.03766;-0.01076;581.03766;-0.01015;581.03766;-0.01024
579.9978;-0.01084;579.9978;-0.01079;579.9978;-0.01034;579.9978;-0.01036
578.95764;-0.01096;578.95764;-0.01084;578.95764;-0.01069;578.95764;-0.0105
578.06592;-0.01107;578.06592;-0.0111;578.06592;-0.01066;578.06592;-0.01062
577.02527;-0.01085;577.02527;-0.01085;577.02527;-0.01049;577.02527;-0.01042
575.98431;-0.01073;575.98431;-0.01098;575.98431;-0.01043;575.98431;-0.01046
